"","Year","Month","value","dt","color","id"
"105",1956,"Sep",3.9,1956-09-01,TRUE,1
"106",1956,"Oct",3.9,1956-10-01,TRUE,1
"107",1956,"Nov",4.3,1956-11-01,FALSE,1
"108",1956,"Dec",4.2,1956-12-01,FALSE,1
"109",1957,"Jan",4.2,1957-01-01,FALSE,1
"110",1957,"Feb",3.9,1957-02-01,TRUE,1
"111",1957,"Mar",3.7,1957-03-01,TRUE,1
"112",1957,"Apr",3.9,1957-04-01,TRUE,1
"113",1957,"May",4.1,1957-05-01,FALSE,1
"114",1957,"Jun",4.3,1957-06-01,FALSE,1
"115",1957,"Jul",4.2,1957-07-01,FALSE,1
"116",1957,"Aug",4.1,1957-08-01,FALSE,1
"117",1957,"Sep",4.4,1957-09-01,FALSE,1
"118",1957,"Oct",4.5,1957-10-01,FALSE,1
"119",1957,"Nov",5.1,1957-11-01,FALSE,1
"120",1957,"Dec",5.2,1957-12-01,FALSE,1
"121",1958,"Jan",5.8,1958-01-01,FALSE,1
"122",1958,"Feb",6.4,1958-02-01,FALSE,1
"123",1958,"Mar",6.7,1958-03-01,FALSE,1
"124",1958,"Apr",7.4,1958-04-01,FALSE,1
"125",1958,"May",7.4,1958-05-01,FALSE,1
"126",1958,"Jun",7.3,1958-06-01,FALSE,1
"127",1958,"Jul",7.5,1958-07-01,FALSE,1
"128",1958,"Aug",7.4,1958-08-01,FALSE,1
"129",1958,"Sep",7.1,1958-09-01,FALSE,1
"130",1958,"Oct",6.7,1958-10-01,FALSE,1
"131",1958,"Nov",6.2,1958-11-01,FALSE,1
"132",1958,"Dec",6.2,1958-12-01,FALSE,1
"133",1959,"Jan",6,1959-01-01,FALSE,1
"134",1959,"Feb",5.9,1959-02-01,FALSE,1
"135",1959,"Mar",5.6,1959-03-01,FALSE,1
"136",1959,"Apr",5.2,1959-04-01,FALSE,1
"137",1959,"May",5.1,1959-05-01,FALSE,1
"138",1959,"Jun",5,1959-06-01,FALSE,1
"139",1959,"Jul",5.1,1959-07-01,FALSE,1
"140",1959,"Aug",5.2,1959-08-01,FALSE,1
"141",1959,"Sep",5.5,1959-09-01,FALSE,1
"142",1959,"Oct",5.7,1959-10-01,FALSE,1
"143",1959,"Nov",5.8,1959-11-01,FALSE,1
"144",1959,"Dec",5.3,1959-12-01,FALSE,1
"145",1960,"Jan",5.2,1960-01-01,FALSE,1
"146",1960,"Feb",4.8,1960-02-01,FALSE,1
"147",1960,"Mar",5.4,1960-03-01,FALSE,1
"148",1960,"Apr",5.2,1960-04-01,FALSE,1
"149",1960,"May",5.1,1960-05-01,FALSE,1
"150",1960,"Jun",5.4,1960-06-01,FALSE,1
"151",1960,"Jul",5.5,1960-07-01,FALSE,1
"152",1960,"Aug",5.6,1960-08-01,FALSE,1
"153",1960,"Sep",5.5,1960-09-01,FALSE,1
"154",1960,"Oct",6.1,1960-10-01,FALSE,1
"155",1960,"Nov",6.1,1960-11-01,FALSE,1
"156",1960,"Dec",6.6,1960-12-01,FALSE,1
"157",1961,"Jan",6.6,1961-01-01,FALSE,1
"158",1961,"Feb",6.9,1961-02-01,FALSE,1
"159",1961,"Mar",6.9,1961-03-01,FALSE,1
"160",1961,"Apr",7,1961-04-01,FALSE,1
"161",1961,"May",7.1,1961-05-01,FALSE,1
"162",1961,"Jun",6.9,1961-06-01,FALSE,1
"163",1961,"Jul",7,1961-07-01,FALSE,1
"164",1961,"Aug",6.6,1961-08-01,FALSE,1
"165",1961,"Sep",6.7,1961-09-01,FALSE,1
"166",1961,"Oct",6.5,1961-10-01,FALSE,1
"167",1961,"Nov",6.1,1961-11-01,FALSE,1
"168",1961,"Dec",6,1961-12-01,FALSE,1
"169",1962,"Jan",5.8,1962-01-01,FALSE,1
"170",1962,"Feb",5.5,1962-02-01,FALSE,1
"171",1962,"Mar",5.6,1962-03-01,FALSE,1
"172",1962,"Apr",5.6,1962-04-01,FALSE,1
"173",1962,"May",5.5,1962-05-01,FALSE,1
"174",1962,"Jun",5.5,1962-06-01,FALSE,1
"175",1962,"Jul",5.4,1962-07-01,FALSE,1
"176",1962,"Aug",5.7,1962-08-01,FALSE,1
"177",1962,"Sep",5.6,1962-09-01,FALSE,1
"178",1962,"Oct",5.4,1962-10-01,FALSE,1
"179",1962,"Nov",5.7,1962-11-01,FALSE,1
"180",1962,"Dec",5.5,1962-12-01,FALSE,1
"181",1963,"Jan",5.7,1963-01-01,FALSE,1
"182",1963,"Feb",5.9,1963-02-01,FALSE,1
"183",1963,"Mar",5.7,1963-03-01,FALSE,1
"184",1963,"Apr",5.7,1963-04-01,FALSE,1
"185",1963,"May",5.9,1963-05-01,FALSE,1
"186",1963,"Jun",5.6,1963-06-01,FALSE,1
"187",1963,"Jul",5.6,1963-07-01,FALSE,1
"188",1963,"Aug",5.4,1963-08-01,FALSE,1
"189",1963,"Sep",5.5,1963-09-01,FALSE,1
"190",1963,"Oct",5.5,1963-10-01,FALSE,1
"191",1963,"Nov",5.7,1963-11-01,FALSE,1
"192",1963,"Dec",5.5,1963-12-01,FALSE,1
"193",1964,"Jan",5.6,1964-01-01,FALSE,1
"194",1964,"Feb",5.4,1964-02-01,FALSE,1
"195",1964,"Mar",5.4,1964-03-01,FALSE,1
"196",1964,"Apr",5.3,1964-04-01,FALSE,1
"197",1964,"May",5.1,1964-05-01,FALSE,1
"198",1964,"Jun",5.2,1964-06-01,FALSE,1
"199",1964,"Jul",4.9,1964-07-01,FALSE,1
"200",1964,"Aug",5,1964-08-01,FALSE,1
"201",1964,"Sep",5.1,1964-09-01,FALSE,1
"202",1964,"Oct",5.1,1964-10-01,FALSE,1
"203",1964,"Nov",4.8,1964-11-01,FALSE,1
"204",1964,"Dec",5,1964-12-01,FALSE,1
"205",1965,"Jan",4.9,1965-01-01,FALSE,1
"206",1965,"Feb",5.1,1965-02-01,FALSE,1
"207",1965,"Mar",4.7,1965-03-01,FALSE,1
"208",1965,"Apr",4.8,1965-04-01,FALSE,1
"209",1965,"May",4.6,1965-05-01,FALSE,1
"210",1965,"Jun",4.6,1965-06-01,FALSE,1
"211",1965,"Jul",4.4,1965-07-01,FALSE,1
"212",1965,"Aug",4.4,1965-08-01,FALSE,1
"213",1965,"Sep",4.3,1965-09-01,FALSE,1
"214",1965,"Oct",4.2,1965-10-01,FALSE,1
"215",1965,"Nov",4.1,1965-11-01,FALSE,1
"216",1965,"Dec",4,1965-12-01,FALSE,1
"217",1966,"Jan",4,1966-01-01,FALSE,1
"218",1966,"Feb",3.8,1966-02-01,TRUE,1
"219",1966,"Mar",3.8,1966-03-01,TRUE,1
"220",1966,"Apr",3.8,1966-04-01,TRUE,1
"221",1966,"May",3.9,1966-05-01,TRUE,1
"222",1966,"Jun",3.8,1966-06-01,TRUE,1
"223",1966,"Jul",3.8,1966-07-01,TRUE,1
"224",1966,"Aug",3.8,1966-08-01,TRUE,1
"225",1966,"Sep",3.7,1966-09-01,TRUE,1
"226",1966,"Oct",3.7,1966-10-01,TRUE,1
"227",1966,"Nov",3.6,1966-11-01,TRUE,1
"228",1966,"Dec",3.8,1966-12-01,TRUE,1
"229",1967,"Jan",3.9,1967-01-01,TRUE,1
"230",1967,"Feb",3.8,1967-02-01,TRUE,1
"231",1967,"Mar",3.8,1967-03-01,TRUE,1
"232",1967,"Apr",3.8,1967-04-01,TRUE,1
"233",1967,"May",3.8,1967-05-01,TRUE,1
"234",1967,"Jun",3.9,1967-06-01,TRUE,1
"235",1967,"Jul",3.8,1967-07-01,TRUE,1
"236",1967,"Aug",3.8,1967-08-01,TRUE,1
"237",1967,"Sep",3.8,1967-09-01,TRUE,1
"238",1967,"Oct",4,1967-10-01,FALSE,1
"239",1967,"Nov",3.9,1967-11-01,TRUE,1
"240",1967,"Dec",3.8,1967-12-01,TRUE,1
"241",1968,"Jan",3.7,1968-01-01,TRUE,1
"242",1968,"Feb",3.8,1968-02-01,TRUE,1
"243",1968,"Mar",3.7,1968-03-01,TRUE,1
"244",1968,"Apr",3.5,1968-04-01,TRUE,1
"245",1968,"May",3.5,1968-05-01,TRUE,1
"246",1968,"Jun",3.7,1968-06-01,TRUE,1
"247",1968,"Jul",3.7,1968-07-01,TRUE,1
"248",1968,"Aug",3.5,1968-08-01,TRUE,1
"249",1968,"Sep",3.4,1968-09-01,TRUE,1
"250",1968,"Oct",3.4,1968-10-01,TRUE,1
"251",1968,"Nov",3.4,1968-11-01,TRUE,1
"252",1968,"Dec",3.4,1968-12-01,TRUE,1
"253",1969,"Jan",3.4,1969-01-01,TRUE,1
"254",1969,"Feb",3.4,1969-02-01,TRUE,1
"255",1969,"Mar",3.4,1969-03-01,TRUE,1
"256",1969,"Apr",3.4,1969-04-01,TRUE,1
"257",1969,"May",3.4,1969-05-01,TRUE,1
"258",1969,"Jun",3.5,1969-06-01,TRUE,1
"259",1969,"Jul",3.5,1969-07-01,TRUE,1
"260",1969,"Aug",3.5,1969-08-01,TRUE,1
"261",1969,"Sep",3.7,1969-09-01,TRUE,1
"262",1969,"Oct",3.7,1969-10-01,TRUE,1
"263",1969,"Nov",3.5,1969-11-01,TRUE,1
"264",1969,"Dec",3.5,1969-12-01,TRUE,1
"265",1970,"Jan",3.9,1970-01-01,TRUE,1
"266",1970,"Feb",4.2,1970-02-01,FALSE,1
"267",1970,"Mar",4.4,1970-03-01,FALSE,1
"268",1970,"Apr",4.6,1970-04-01,FALSE,1
"269",1970,"May",4.8,1970-05-01,FALSE,1
"270",1970,"Jun",4.9,1970-06-01,FALSE,1
"271",1970,"Jul",5,1970-07-01,FALSE,1
"272",1970,"Aug",5.1,1970-08-01,FALSE,1
"273",1970,"Sep",5.4,1970-09-01,FALSE,1
"274",1970,"Oct",5.5,1970-10-01,FALSE,1
"275",1970,"Nov",5.9,1970-11-01,FALSE,1
"276",1970,"Dec",6.1,1970-12-01,FALSE,1
"277",1971,"Jan",5.9,1971-01-01,FALSE,1
"278",1971,"Feb",5.9,1971-02-01,FALSE,1
"279",1971,"Mar",6,1971-03-01,FALSE,1
"280",1971,"Apr",5.9,1971-04-01,FALSE,1
"281",1971,"May",5.9,1971-05-01,FALSE,1
"282",1971,"Jun",5.9,1971-06-01,FALSE,1
"283",1971,"Jul",6,1971-07-01,FALSE,1
"284",1971,"Aug",6.1,1971-08-01,FALSE,1
"285",1971,"Sep",6,1971-09-01,FALSE,1
"286",1971,"Oct",5.8,1971-10-01,FALSE,1
"287",1971,"Nov",6,1971-11-01,FALSE,1
"288",1971,"Dec",6,1971-12-01,FALSE,1
"289",1972,"Jan",5.8,1972-01-01,FALSE,1
"290",1972,"Feb",5.7,1972-02-01,FALSE,1
"291",1972,"Mar",5.8,1972-03-01,FALSE,1
"292",1972,"Apr",5.7,1972-04-01,FALSE,1
"293",1972,"May",5.7,1972-05-01,FALSE,1
"294",1972,"Jun",5.7,1972-06-01,FALSE,1
"295",1972,"Jul",5.6,1972-07-01,FALSE,1
"296",1972,"Aug",5.6,1972-08-01,FALSE,1
"297",1972,"Sep",5.5,1972-09-01,FALSE,1
"298",1972,"Oct",5.6,1972-10-01,FALSE,1
"299",1972,"Nov",5.3,1972-11-01,FALSE,1
"300",1972,"Dec",5.2,1972-12-01,FALSE,1
"301",1973,"Jan",4.9,1973-01-01,FALSE,1
"302",1973,"Feb",5,1973-02-01,FALSE,1
"303",1973,"Mar",4.9,1973-03-01,FALSE,1
"304",1973,"Apr",5,1973-04-01,FALSE,1
"305",1973,"May",4.9,1973-05-01,FALSE,1
"306",1973,"Jun",4.9,1973-06-01,FALSE,1
"307",1973,"Jul",4.8,1973-07-01,FALSE,1
"308",1973,"Aug",4.8,1973-08-01,FALSE,1
"309",1973,"Sep",4.8,1973-09-01,FALSE,1
"310",1973,"Oct",4.6,1973-10-01,FALSE,1
"311",1973,"Nov",4.8,1973-11-01,FALSE,1
"312",1973,"Dec",4.9,1973-12-01,FALSE,1
"313",1974,"Jan",5.1,1974-01-01,FALSE,1
"314",1974,"Feb",5.2,1974-02-01,FALSE,1
"315",1974,"Mar",5.1,1974-03-01,FALSE,1
"316",1974,"Apr",5.1,1974-04-01,FALSE,1
"317",1974,"May",5.1,1974-05-01,FALSE,1
"318",1974,"Jun",5.4,1974-06-01,FALSE,1
"319",1974,"Jul",5.5,1974-07-01,FALSE,1
"320",1974,"Aug",5.5,1974-08-01,FALSE,1
"321",1974,"Sep",5.9,1974-09-01,FALSE,1
"322",1974,"Oct",6,1974-10-01,FALSE,1
"323",1974,"Nov",6.6,1974-11-01,FALSE,1
"324",1974,"Dec",7.2,1974-12-01,FALSE,1
"325",1975,"Jan",8.1,1975-01-01,FALSE,1
"326",1975,"Feb",8.1,1975-02-01,FALSE,1
"327",1975,"Mar",8.6,1975-03-01,FALSE,1
"328",1975,"Apr",8.8,1975-04-01,FALSE,1
"329",1975,"May",9,1975-05-01,FALSE,1
"330",1975,"Jun",8.8,1975-06-01,FALSE,1
"331",1975,"Jul",8.6,1975-07-01,FALSE,1
"332",1975,"Aug",8.4,1975-08-01,FALSE,1
"333",1975,"Sep",8.4,1975-09-01,FALSE,1
"334",1975,"Oct",8.4,1975-10-01,FALSE,1
"335",1975,"Nov",8.3,1975-11-01,FALSE,1
"336",1975,"Dec",8.2,1975-12-01,FALSE,1
"337",1976,"Jan",7.9,1976-01-01,FALSE,1
"338",1976,"Feb",7.7,1976-02-01,FALSE,1
"339",1976,"Mar",7.6,1976-03-01,FALSE,1
"340",1976,"Apr",7.7,1976-04-01,FALSE,1
"341",1976,"May",7.4,1976-05-01,FALSE,1
"342",1976,"Jun",7.6,1976-06-01,FALSE,1
"343",1976,"Jul",7.8,1976-07-01,FALSE,1
"344",1976,"Aug",7.8,1976-08-01,FALSE,1
"345",1976,"Sep",7.6,1976-09-01,FALSE,1
"346",1976,"Oct",7.7,1976-10-01,FALSE,1
"347",1976,"Nov",7.8,1976-11-01,FALSE,1
"348",1976,"Dec",7.8,1976-12-01,FALSE,1
"349",1977,"Jan",7.5,1977-01-01,FALSE,1
"350",1977,"Feb",7.6,1977-02-01,FALSE,1
"351",1977,"Mar",7.4,1977-03-01,FALSE,1
"352",1977,"Apr",7.2,1977-04-01,FALSE,1
"353",1977,"May",7,1977-05-01,FALSE,1
"354",1977,"Jun",7.2,1977-06-01,FALSE,1
"355",1977,"Jul",6.9,1977-07-01,FALSE,1
"356",1977,"Aug",7,1977-08-01,FALSE,1
"357",1977,"Sep",6.8,1977-09-01,FALSE,1
"358",1977,"Oct",6.8,1977-10-01,FALSE,1
"359",1977,"Nov",6.8,1977-11-01,FALSE,1
"360",1977,"Dec",6.4,1977-12-01,FALSE,1
"361",1978,"Jan",6.4,1978-01-01,FALSE,1
"362",1978,"Feb",6.3,1978-02-01,FALSE,1
"363",1978,"Mar",6.3,1978-03-01,FALSE,1
"364",1978,"Apr",6.1,1978-04-01,FALSE,1
"365",1978,"May",6,1978-05-01,FALSE,1
"366",1978,"Jun",5.9,1978-06-01,FALSE,1
"367",1978,"Jul",6.2,1978-07-01,FALSE,1
"368",1978,"Aug",5.9,1978-08-01,FALSE,1
"369",1978,"Sep",6,1978-09-01,FALSE,1
"370",1978,"Oct",5.8,1978-10-01,FALSE,1
"371",1978,"Nov",5.9,1978-11-01,FALSE,1
"372",1978,"Dec",6,1978-12-01,FALSE,1
"373",1979,"Jan",5.9,1979-01-01,FALSE,1
"374",1979,"Feb",5.9,1979-02-01,FALSE,1
"375",1979,"Mar",5.8,1979-03-01,FALSE,1
"376",1979,"Apr",5.8,1979-04-01,FALSE,1
"377",1979,"May",5.6,1979-05-01,FALSE,1
"378",1979,"Jun",5.7,1979-06-01,FALSE,1
"379",1979,"Jul",5.7,1979-07-01,FALSE,1
"380",1979,"Aug",6,1979-08-01,FALSE,1
"381",1979,"Sep",5.9,1979-09-01,FALSE,1
"382",1979,"Oct",6,1979-10-01,FALSE,1
"383",1979,"Nov",5.9,1979-11-01,FALSE,1
"384",1979,"Dec",6,1979-12-01,FALSE,1
"385",1980,"Jan",6.3,1980-01-01,FALSE,1
"386",1980,"Feb",6.3,1980-02-01,FALSE,1
"387",1980,"Mar",6.3,1980-03-01,FALSE,1
"388",1980,"Apr",6.9,1980-04-01,FALSE,1
"389",1980,"May",7.5,1980-05-01,FALSE,1
"390",1980,"Jun",7.6,1980-06-01,FALSE,1
"391",1980,"Jul",7.8,1980-07-01,FALSE,1
"392",1980,"Aug",7.7,1980-08-01,FALSE,1
"393",1980,"Sep",7.5,1980-09-01,FALSE,1
"394",1980,"Oct",7.5,1980-10-01,FALSE,1
"395",1980,"Nov",7.5,1980-11-01,FALSE,1
"396",1980,"Dec",7.2,1980-12-01,FALSE,1
"397",1981,"Jan",7.5,1981-01-01,FALSE,1
"398",1981,"Feb",7.4,1981-02-01,FALSE,1
"399",1981,"Mar",7.4,1981-03-01,FALSE,1
"400",1981,"Apr",7.2,1981-04-01,FALSE,1
"401",1981,"May",7.5,1981-05-01,FALSE,1
"402",1981,"Jun",7.5,1981-06-01,FALSE,1
"403",1981,"Jul",7.2,1981-07-01,FALSE,1
"404",1981,"Aug",7.4,1981-08-01,FALSE,1
"405",1981,"Sep",7.6,1981-09-01,FALSE,1
"406",1981,"Oct",7.9,1981-10-01,FALSE,1
"407",1981,"Nov",8.3,1981-11-01,FALSE,1
"408",1981,"Dec",8.5,1981-12-01,FALSE,1
"409",1982,"Jan",8.6,1982-01-01,FALSE,1
"410",1982,"Feb",8.9,1982-02-01,FALSE,1
"411",1982,"Mar",9,1982-03-01,FALSE,1
"412",1982,"Apr",9.3,1982-04-01,FALSE,1
"413",1982,"May",9.4,1982-05-01,FALSE,1
"414",1982,"Jun",9.6,1982-06-01,FALSE,1
"415",1982,"Jul",9.8,1982-07-01,FALSE,1
"416",1982,"Aug",9.8,1982-08-01,FALSE,1
"417",1982,"Sep",10.1,1982-09-01,FALSE,1
"418",1982,"Oct",10.4,1982-10-01,FALSE,1
"419",1982,"Nov",10.8,1982-11-01,FALSE,1
"420",1982,"Dec",10.8,1982-12-01,FALSE,1
"421",1983,"Jan",10.4,1983-01-01,FALSE,1
"422",1983,"Feb",10.4,1983-02-01,FALSE,1
"423",1983,"Mar",10.3,1983-03-01,FALSE,1
"424",1983,"Apr",10.2,1983-04-01,FALSE,1
"425",1983,"May",10.1,1983-05-01,FALSE,1
"426",1983,"Jun",10.1,1983-06-01,FALSE,1
"427",1983,"Jul",9.4,1983-07-01,FALSE,1
"428",1983,"Aug",9.5,1983-08-01,FALSE,1
"429",1983,"Sep",9.2,1983-09-01,FALSE,1
"430",1983,"Oct",8.8,1983-10-01,FALSE,1
"431",1983,"Nov",8.5,1983-11-01,FALSE,1
"432",1983,"Dec",8.3,1983-12-01,FALSE,1
"433",1984,"Jan",8,1984-01-01,FALSE,1
"434",1984,"Feb",7.8,1984-02-01,FALSE,1
"435",1984,"Mar",7.8,1984-03-01,FALSE,1
"436",1984,"Apr",7.7,1984-04-01,FALSE,1
"437",1984,"May",7.4,1984-05-01,FALSE,1
"438",1984,"Jun",7.2,1984-06-01,FALSE,1
"439",1984,"Jul",7.5,1984-07-01,FALSE,1
"440",1984,"Aug",7.5,1984-08-01,FALSE,1
"441",1984,"Sep",7.3,1984-09-01,FALSE,1
"442",1984,"Oct",7.4,1984-10-01,FALSE,1
"443",1984,"Nov",7.2,1984-11-01,FALSE,1
"444",1984,"Dec",7.3,1984-12-01,FALSE,1
"445",1985,"Jan",7.3,1985-01-01,FALSE,1
"446",1985,"Feb",7.2,1985-02-01,FALSE,1
"447",1985,"Mar",7.2,1985-03-01,FALSE,1
"448",1985,"Apr",7.3,1985-04-01,FALSE,1
"449",1985,"May",7.2,1985-05-01,FALSE,1
"450",1985,"Jun",7.4,1985-06-01,FALSE,1
"451",1985,"Jul",7.4,1985-07-01,FALSE,1
"452",1985,"Aug",7.1,1985-08-01,FALSE,1
"453",1985,"Sep",7.1,1985-09-01,FALSE,1
"454",1985,"Oct",7.1,1985-10-01,FALSE,1
"455",1985,"Nov",7,1985-11-01,FALSE,1
"456",1985,"Dec",7,1985-12-01,FALSE,1
"457",1986,"Jan",6.7,1986-01-01,FALSE,1
"458",1986,"Feb",7.2,1986-02-01,FALSE,1
"459",1986,"Mar",7.2,1986-03-01,FALSE,1
"460",1986,"Apr",7.1,1986-04-01,FALSE,1
"461",1986,"May",7.2,1986-05-01,FALSE,1
"462",1986,"Jun",7.2,1986-06-01,FALSE,1
"463",1986,"Jul",7,1986-07-01,FALSE,1
"464",1986,"Aug",6.9,1986-08-01,FALSE,1
"465",1986,"Sep",7,1986-09-01,FALSE,1
"466",1986,"Oct",7,1986-10-01,FALSE,1
"467",1986,"Nov",6.9,1986-11-01,FALSE,1
"468",1986,"Dec",6.6,1986-12-01,FALSE,1
"469",1987,"Jan",6.6,1987-01-01,FALSE,1
"470",1987,"Feb",6.6,1987-02-01,FALSE,1
"471",1987,"Mar",6.6,1987-03-01,FALSE,1
"472",1987,"Apr",6.3,1987-04-01,FALSE,1
"473",1987,"May",6.3,1987-05-01,FALSE,1
"474",1987,"Jun",6.2,1987-06-01,FALSE,1
"475",1987,"Jul",6.1,1987-07-01,FALSE,1
"476",1987,"Aug",6,1987-08-01,FALSE,1
"477",1987,"Sep",5.9,1987-09-01,FALSE,1
"478",1987,"Oct",6,1987-10-01,FALSE,1
"479",1987,"Nov",5.8,1987-11-01,FALSE,1
"480",1987,"Dec",5.7,1987-12-01,FALSE,1
"481",1988,"Jan",5.7,1988-01-01,FALSE,1
"482",1988,"Feb",5.7,1988-02-01,FALSE,1
"483",1988,"Mar",5.7,1988-03-01,FALSE,1
"484",1988,"Apr",5.4,1988-04-01,FALSE,1
"485",1988,"May",5.6,1988-05-01,FALSE,1
"486",1988,"Jun",5.4,1988-06-01,FALSE,1
"487",1988,"Jul",5.4,1988-07-01,FALSE,1
